movie_id,title,year,runtime,parental_guide,gross_us
12349,The Kid,1921,68,Passed,
15324,Sherlock Jr.,1924,245,Passed,977375
15864,The Gold Rush,1925,95,Passed,
17136,Metropolis,1927,153,Unrated,1236166
17925,The General,1926,78,Passed,
19254,The Passion of Joan of Arc,1928,114,Passed,21877
21749,City Lights,1931,87,G,19181
22100,M,1931,99,Passed,35566
25316,It Happened One Night,1934,105,Passed,
27977,Modern Times,1936,87,G,163577
31381,Gone with the Wind,1939,238,Passed,200882193
31679,Mr. Smith Goes to Washington,1939,129,Passed,144738
32138,The Wizard of Oz,1939,102,G,24668669
32551,The Grapes of Wrath,1940,129,Passed,
32553,The Great Dictator,1940,125,G,
32976,Rebecca,1940,130,Approved,
33467,Citizen Kane,1941,119,PG,1627530
34583,Casablanca,1942,102,PG,4219709
35446,To Be or Not to Be,1942,99,Passed,3270000
36775,Double Indemnity,1944,107,Passed,
36868,The Best Years of Our Lives,1946,170,Approved,23650000
38650,It's a Wonderful Life,1946,130,PG,1483643
40522,Bicycle Thieves,1948,89,Unrated,371111
40897,The Treasure of the Sierra Madre,1947,126,Passed,5014000
41959,The Third Man,1949,93,Approved,1067364
42192,All About Eve,1950,138,Passed,63463
42876,Rashomon,1950,88,Unrated,46808
43014,Sunset Blvd.,1950,110,Passed,299645
44741,Ikiru,1952,143,Unrated,60239
45152,Singin' in the Rain,1952,103,G,1884537
46268,The Wages of Fear,1953,131,Unrated,
46438,Tokyo Story,1953,136,Unrated,
46912,Dial M for Murder,1954,105,PG,24845
47296,On the Waterfront,1954,108,Approved,
47396,Rear Window,1954,112,PG,36764313
47478,Seven Samurai,1954,207,Unrated,318649
48473,Pather Panchali,1955,125,Unrated,134241
50083,12 Angry Men,1957,96,Approved,
50212,The Bridge on the River Kwai,1957,161,PG,27200000
50825,Paths of Glory,1957,88,Approved,
50976,The Seventh Seal,1957,96,Unrated,
50986,Wild Strawberries,1957,91,Unrated,
51201,Witness for the Prosecution,1957,116,Approved,
52357,Vertigo,1958,128,PG,7705225
52618,Ben-Hur,1959,212,G,74432704
53125,North by Northwest,1959,136,Approved,66728
53198,The 400 Blows,1959,99,Unrated,509
53291,Some Like It Hot,1959,121,Passed,
53604,The Apartment,1960,125,Approved,18600000
54215,Psycho,1960,109,R,32000000
55031,Judgment at Nuremberg,1961,179,Approved,
55630,Yojimbo,1961,110,Unrated,46808
56058,Harakiri,1962,133,Unrated,
56172,Lawrence of Arabia,1962,218,Approved,45306425
56592,To Kill a Mockingbird,1962,129,Approved,592237
57012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,PG,9440272
57115,The Great Escape,1963,172,Approved,
57565,High and Low,1963,143,Unrated,46808
58946,The Battle of Algiers,1966,121,Unrated,879794
59578,For a Few Dollars More,1965,132,R,15000000
59742,The Sound of Music,1965,172,G,159287539
60196,"The Good, the Bad and the Ugly",1966,178,Approved,25100000
60827,Persona,1966,83,Unrated,
61512,Cool Hand Luke,1967,127,GP,
62622,2001: A Space Odyssey,1968,149,G,60481243
64116,Once Upon a Time in the West,1968,165,PG-13,5321508
66921,A Clockwork Orange,1971,136,X,26617553
68646,The Godfather,1972,175,R,136381073
70047,The Exorcist,1973,122,R,233005644
70735,The Sting,1973,129,PG,156000000
71315,Chinatown,1974,130,R,29200000
71562,The Godfather Part II,1974,202,R,47834595
71853,Monty Python and the Holy Grail,1975,91,PG,1827696
72684,Barry Lyndon,1975,185,PG,
73195,Jaws,1975,124,PG,265859065
73486,One Flew Over the Cuckoo's Nest,1975,133,R,108981275
74958,Network,1976,121,R,23689877
75148,Rocky,1976,120,PG,117235147
75314,Taxi Driver,1976,114,R,28262574
76759,Star Wars: Episode IV - A New Hope,1977,121,PG,460998507
77416,The Deer Hunter,1978,183,R,48979328
78748,Alien,1979,117,R,81900459
78788,Apocalypse Now,1979,147,R,96042913
79470,Life of Brian,1979,94,R,20206622
80678,The Elephant Man,1980,124,PG,26010864
80684,Star Wars: Episode V - The Empire Strikes Back,1980,124,PG,292753960
81398,Raging Bull,1980,129,R,23383987
81505,The Shining,1980,146,R,45634352
82096,Das Boot,1981,29,Unrated,11487676
82971,Indiana Jones and the Raiders of the Lost Ark,1981,115,PG,248159971
83658,Blade Runner,1982,117,R,32914489
84787,The Thing,1982,109,16+,19629760
86190,Star Wars: Episode VI - Return of the Jedi,1983,131,PG,316566101
86250,Scarface,1983,170,18+,45408703
86879,Amadeus,1984,160,PG,51973029
87843,Once Upon a Time in America,1984,229,R,5321508
88247,The Terminator,1984,107,R,38371200
88763,Back to the Future,1985,116,PG,212836762
89881,Ran,1985,162,R,4135750
90605,Aliens,1986,137,R,85160248
91251,Come and See,1985,142,Unrated,71909
91763,Platoon,1986,120,R,138530565
92005,Stand by Me,1986,89,R,52287414
93058,Full Metal Jacket,1987,116,R,46357676
95016,Die Hard,1988,132,R,83844093
95327,Grave of the Fireflies,1988,89,Unrated,516962
95765,Cinema Paradiso,1988,155,PG,12397210
96283,My Neighbor Totoro,1988,86,G,2250213
97165,Dead Poets Society,1989,128,PG,95860116
97576,Indiana Jones and the Last Crusade,1989,127,PG-13,197171806
99348,Dances with Wolves,1990,181,PG-13,184208848
99685,Goodfellas,1990,145,18+,46909721
102926,The Silence of the Lambs,1991,118,R,130742922
103064,Terminator 2: Judgment Day,1991,137,R,205881154
103639,Aladdin,1992,90,G,217350219
105236,Reservoir Dogs,1992,99,R,2832029
105695,Unforgiven,1992,130,R,101167799
107048,Groundhog Day,1993,101,PG,71107962
107207,In the Name of the Father,1993,133,R,25096862
107290,Jurassic Park,1993,127,PG-13,406619405
108052,Schindler's List,1993,195,R,96898818
109830,Forrest Gump,1994,142,PG-13,330455270
110357,The Lion King,1994,88,G,422783777
110413,Léon: The Professional,1994,110,R,19501238
110912,Pulp Fiction,1994,154,R,107928762
111161,The Shawshank Redemption,1994,142,R,28767189
112471,Before Sunrise,1995,101,R,5535405
112573,Braveheart,1995,178,R,75609945
112641,Casino,1995,178,R,42512375
113247,La haine,1995,98,Unrated,280859
113277,Heat,1995,170,R,67436818
114369,Se7en,1995,127,R,100125643
114709,Toy Story,1995,81,G,223225679
114814,The Usual Suspects,1995,106,R,23341568
116282,Fargo,1996,98,R,24611975
117951,Trainspotting,1996,93,R,16491080
118715,The Big Lebowski,1998,117,R,18254458
118799,Life Is Beautiful,1997,116,PG-13,57563264
118849,Children of Heaven,1997,89,PG,933933
119217,Good Will Hunting,1997,126,R,138433435
119488,L.A. Confidential,1997,138,R,64616940
119698,Princess Mononoke,1997,134,PG-13,4845631
120382,The Truman Show,1998,103,PG,125618201
120586,American History X,1998,119,R,6719864
120689,The Green Mile,1999,189,R,136801374
120735,"Lock, Stock and Two Smoking Barrels",1998,107,R,3753929
120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,316115420
120815,Saving Private Ryan,1998,169,R,217049603
129167,The Iron Giant,1999,86,PG,23315035
133093,The Matrix,1999,136,R,172076928
137523,Fight Club,1999,139,R,37030102
167260,The Lord of the Rings: The Return of the King,2003,201,PG-13,379427292
167261,The Lord of the Rings: The Two Towers,2002,179,PG-13,342952511
167404,The Sixth Sense,1999,107,PG-13,293506292
169547,American Beauty,1999,122,R,130096601
172495,Gladiator,2000,155,R,187705427
180093,Requiem for a Dream,2000,102,Unrated,3635482
198781,"Monsters, Inc.",2001,92,G,290642256
208092,Snatch,2000,102,R,30328156
209144,Memento,2000,113,R,25544867
211915,Amélie,2001,122,R,33225499
245429,Spirited Away,2001,125,PG,15205725
245712,Amores Perros,2000,154,R,5408467
253474,The Pianist,2002,150,R,32572577
264464,Catch Me If You Can,2002,141,PG-13,164615351
266543,Finding Nemo,2003,100,G,380843261
266697,Kill Bill: Vol. 1,2003,111,R,70099045
268978,A Beautiful Mind,2001,135,PG-13,170742341
317248,City of God,2002,130,R,7564459
317705,The Incredibles,2004,115,PG,261441092
325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,305413918
338013,Eternal Sunshine of the Spotless Mind,2004,108,R,34400301
347149,Howl's Moving Castle,2004,119,PG,6789268
353969,Memories of Murder,2003,132,Unrated,15357
361748,Inglourious Basterds,2009,153,R,120540719
363163,Downfall,2004,156,R,5509040
364569,Oldboy,2003,120,R,2263659
372784,Batman Begins,2005,140,PG-13,206863479
381681,Before Sunset,2004,80,R,5820649
382932,Ratatouille,2007,111,G,206445654
395169,Hotel Rwanda,2004,121,PG-13,23530892
405094,The Lives of Others,2006,137,R,11286112
405159,Million Dollar Baby,2004,132,PG-13,100492203
407887,The Departed,2006,151,R,132399394
434409,V for Vendetta,2005,132,R,70511035
435761,Toy Story 3,2010,103,G,415004880
457430,Pan's Labyrinth,2006,118,R,37646380
468569,The Dark Knight,2008,152,PG-13,534987076
469494,There Will Be Blood,2007,158,R,40222514
476735,My Father and My Son,2005,112,Unrated,
477348,No Country for Old Men,2007,122,R,74283625
482571,The Prestige,2006,130,PG-13,53089891
758758,Into the Wild,2007,148,R,18354356
816692,Interstellar,2014,169,PG-13,188020017
892769,How to Train Your Dragon,2010,98,PG,217581231
910970,WALL·E,2008,98,G,223808164
978762,Mary and Max,2009,92,Unrated,
986264,Like Stars on Earth,2007,165,PG,1223869
993846,The Wolf of Wall Street,2013,180,R,116900694
1028532,Hachi: A Dog's Tale,2009,93,G,
1049413,Up,2009,96,PG,293004164
1130884,Shutter Island,2010,138,R,128012934
1187043,3 Idiots,2009,170,PG-13,6532874
1201607,Harry Potter and the Deathly Hallows: Part 2,2011,130,PG-13,381447587
1205489,Gran Torino,2008,116,R,148095302
1255953,Incendies,2010,131,R,2071334
1291584,Warrior,2011,140,PG-13,13657115
1305806,The Secret in Their Eyes,2009,129,R,6391436
1345836,The Dark Knight Rises,2012,164,PG-13,448149584
1375666,Inception,2010,148,PG-13,292587330
1392190,Mad Max: Fury Road,2015,120,R,154280290
1392214,Prisoners,2013,153,R,61002302
1454029,The Help,2011,146,PG-13,169708112
1675434,The Intouchables,2011,112,R,10198820
1745960,Top Gun: Maverick,2022,130,PG-13,718732821
1832382,A Separation,2011,123,PG-13,7099055
1853728,Django Unchained,2012,165,R,162805434
1895587,Spotlight,2015,129,R,45055776
1950186,Ford v Ferrari,2019,152,PG-13,117624357
1979320,Rush,2013,123,R,26947624
2024544,12 Years a Slave,2013,134,R,56671993
2096673,Inside Out,2015,95,PG,356921711
2106476,The Hunt,2012,115,R,613308
2119532,Hacksaw Ridge,2016,139,R,67209615
2267998,Gone Girl,2014,149,R,167767189
2278388,The Grand Budapest Hotel,2014,99,R,59301324
2380307,Coco,2017,105,PG,210460015
2582802,Whiplash,2014,106,R,13092000
3011894,Wild Tales,2014,122,R,3106530
3170832,Room,2015,118,R,14677654
3315342,Logan,2017,137,R,226277068
4016934,The Handmaiden,2016,145,Unrated,2006788
4154756,Avengers: Infinity War,2018,149,PG-13,678815482
4154796,Avengers: Endgame,2019,181,PG-13,858373000
4633694,Spider-Man: Into the Spider-Verse,2018,117,PG,190241310
4729430,Klaus,2019,96,PG,
5027774,"Three Billboards Outside Ebbing, Missouri",2017,115,R,54513740
5074352,Dangal,2016,161,Unrated,12391761
5311514,Your Name.,2016,106,TV-PG,5017246
6751668,Parasite,2019,132,R,53369749
6966692,Green Book,2018,130,PG-13,85080171
7286456,Joker,2019,122,R,335477657
8267604,Capernaum,2018,126,R,1661096
8503618,Hamilton,2020,160,PG-13,
8579674,1917,2019,119,R,159227644
9362722,Spider-Man: Across the Spider-Verse,2023,140,PG,381210457
10272386,The Father,2020,97,PG-13,2122771
10872600,Spider-Man: No Way Home,2021,148,PG-13,814115070
15097216,Jai Bhim,2021,164,TV-MA,
15398776,Oppenheimer,2023,180,R,304351000
